Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0.0,9.8418
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0.0,53.2608
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,0.0,22.984
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444.768,4,0.2,44.4768
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,93.06,6,0.0,26.0568
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,302.376,3,0.2,22.6782
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,10.56,2,0.0,4.752
Second Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Chairs,321.568,2,0.2,28.1372
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,7.61,1,0.0,3.5767
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Accessories,3347.37,13,0.0,636.0003
Standard Class,Consumer,United States,Brentwood,California,94513,West,Technology,Accessories,79.9,2,0.0,35.156
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Storage,725.84,4,0.0,210.4936
First Class,Consumer,United States,San Francisco,California,94109,West,Technology,Accessories,209.93,7,0.0,92.3692
First Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,5.28,3,0.0,2.3232
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,10.92,3,0.2,4.095
First Class,Corporate,United States,Inglewood,California,90301,West,Office Supplies,Paper,8.82,2,0.0,4.0572
First Class,Corporate,United States,Inglewood,California,90301,West,Office Supplies,Art,5.98,1,0.0,1.5548
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Tables,1038.84,5,0.2,51.942
Standard Class,Corporate,United States,Long Beach,California,90805,West,Office Supplies,Fasteners,7.16,2,0.0,3.58
Standard Class,Corporate,United States,Hesperia,California,92345,West,Office Supplies,Binders,251.52,6,0.2,81.744
Standard Class,Corporate,United States,Hesperia,California,92345,West,Technology,Accessories,99.99,1,0.0,34.9965
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,4.752,1,0.2,1.6038
Second Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Copiers,959.984,2,0.2,335.9944
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,14.368,4,0.2,4.49
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Binders,7.712,2,0.2,2.7956
Standard Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Tables,698.352,3,0.2,-17.4588
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,47.976,3,0.2,4.7976
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Storage,211.96,4,0.0,8.4784
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,50.96,7,0.0,25.48
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,49.536,3,0.2,17.3376
Standard Class,Consumer,United States,San Francisco,California,94110,West,Technology,Accessories,179.95,5,0.0,37.7895
Standard Class,Consumer,United States,San Francisco,California,94110,West,Technology,Copiers,1199.976,3,0.2,434.9913
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,27.15,5,0.0,13.3035
Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Tables,1004.024,7,0.2,-112.9527
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,9.68,1,0.0,4.6464
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,28.35,9,0.0,13.608
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,55.98,1,0.0,27.4302
Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Bookcases,1336.829,13,0.15,31.4548
Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Chairs,113.568,2,0.2,-18.4548
Standard Class,Consumer,United States,Huntington Beach,California,92646,West,Office Supplies,Art,95.92,8,0.0,25.8984
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,383.8,5,0.2,38.38
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Art,9.32,4,0.0,2.7028
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.25,1,0.0,7.015
Standard Class,Consumer,United States,Concord,California,94521,West,Furniture,Chairs,129.568,2,0.2,-24.294
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Storage,340.92,3,0.0,3.4092
Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Bookcases,222.666,2,0.15,10.4784
Second Class,Consumer,United States,San Francisco,California,94110,West,Technology,Phones,703.968,4,0.2,87.996
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Storage,92.52,6,0.0,24.9804
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,62.65,7,0.0,28.819
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,94.85,5,0.0,45.528
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Phones,95.76,6,0.2,7.182
Standard Class,Consumer,United States,San Diego,California,92024,West,Technology,Accessories,9.09,3,0.0,1.9089
First Class,Home Office,United States,Los Angeles,California,90045,West,Office Supplies,Labels,29.6,2,0.0,14.8
First Class,Home Office,United States,Los Angeles,California,90045,West,Furniture,Bookcases,514.165,5,0.15,-30.245
First Class,Home Office,United States,Los Angeles,California,90045,West,Technology,Phones,279.96,5,0.2,17.4975
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Office Supplies,Binders,119.616,8,0.2,40.3704
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,255.76,4,0.0,81.8432
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,Chairs,241.568,2,0.2,18.1176
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,69.3,9,0.0,22.869
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Art,6.63,3,0.0,1.7901
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Art,5.88,2,0.0,1.7052
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,55.176,3,0.2,-12.4146
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Accessories,66.26,2,0.0,27.1666
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Chairs,190.72,1,0.2,11.92
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,47.94,3,0.0,2.397
Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Chairs,1121.568,2,0.2,0.0
Second Class,Corporate,United States,Anaheim,California,92804,West,Office Supplies,Storage,1295.78,2,0.0,310.9872
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Labels,20.7,2,0.0,9.936
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,1335.68,4,0.2,-217.048
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,32.4,5,0.0,15.552
Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Furnishings,42.6,3,0.0,16.614
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,84.056,7,0.2,27.3182
First Class,Consumer,United States,Los Angeles,California,90008,West,Technology,Phones,374.376,3,0.2,46.797
Second Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Paper,160.72,14,0.0,78.7528
Second Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Paper,19.92,4,0.0,9.7608
Second Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Supplies,7.3,2,0.0,2.19
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Supplies,51.52,4,0.0,1.5456
Standard Class,Consumer,United States,San Diego,California,92024,West,Office Supplies,Appliances,76.12,2,0.0,22.0748
Standard Class,Consumer,United States,San Diego,California,92024,West,Technology,Copiers,1199.976,3,0.2,434.9913
Standard Class,Consumer,United States,San Diego,California,92024,West,Technology,Phones,445.96,5,0.2,55.745
Standard Class,Consumer,United States,San Diego,California,92024,West,Furniture,Furnishings,327.76,8,0.0,91.7728
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,15.24,5,0.2,5.1435
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,13.23,3,0.0,6.0858
Standard Class,Home Office,United States,Vallejo,California,94591,West,Furniture,Furnishings,1049.2,5,0.0,272.792
Standard Class,Home Office,United States,Vallejo,California,94591,West,Office Supplies,Binders,15.424,4,0.2,5.0128
Second Class,Consumer,United States,Mission Viejo,California,92691,West,Office Supplies,Storage,330.4,2,0.0,85.904
