Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824
Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0.0,3.894
Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.1512
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0.0,22.3328
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0.0,4.172
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0.0,6.2031
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0.0,6.633
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.1104
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592
Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602
Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0.0,26.2416
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0.0,16.6568
Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0.0,3.456
